Geschlecht,Familienstand,Alter,Kinder,Bildungsstand,Beruf,Jahresgehalt,Immobilienbesitz,Versicherungstarif
weiblich,geschieden,41,0,Abitur,selbständig,91800,keiner,Tarif B
weiblich,ledig,62,0,Lehre,kein,9900,keiner,Tarif C
weiblich,ledig,44,0,Realschule,kein,8300,keiner,Tarif C
maennlich,ledig,25,0,Lehre,angestellt,71575,keiner,Tarif B
maennlich,verheiratet,29,2,Bachelor,angestellt,67840,Einfamilienhaus,Tarif A
maennlich,geschieden,35,2,Lehre,verbeamtet,70575,keiner,Tarif A
maennlich,verheiratet,38,2,Lehre,arbeitend,26560,Eigentumswohnung,Tarif A
maennlich,verheiratet,51,0,Bachelor,selbständig,78300,Eigentumswohnung,Tarif A
maennlich,verheiratet,29,2,Bachelor,verbeamtet,90595,Einfamilienhaus,Tarif A
weiblich,verwitwet,45,0,Bachelor,angestellt,94350,Eigentumswohnung,Tarif B
weiblich,verwitwet,35,3,Bachelor,angestellt,39450,Eigentumswohnung,Tarif A
weiblich,verheiratet,28,2,Bachelor,kein,9900,keiner,Tarif A
maennlich,ledig,40,0,Bachelor,selbständig,42500,keiner,Tarif B
maennlich,ledig,29,1,Promotion,angestellt,94475,Einfamilienhaus,Tarif A
weiblich,verheiratet,55,0,Lehre,angestellt,124825,Eigentumswohnung,Tarif A
weiblich,geschieden,45,0,Bachelor,selbständig,74800,Eigentumswohnung,Tarif B
weiblich,verwitwet,38,3,Abitur,verbeamtet,46690,keiner,Tarif A
weiblich,verheiratet,48,0,Bachelor,angestellt,84340,Eigentumswohnung,Tarif A
weiblich,geschieden,25,0,Realschule,kein,9000,keiner,Tarif C
weiblich,verheiratet,49,0,Lehre,arbeitend,33255,keiner,Tarif B
weiblich,verheiratet,45,1,Bachelor,arbeitend,31050,Einfamilienhaus,Tarif A
maennlich,verheiratet,23,0,Bachelor,verbeamtet,84720,Einfamilienhaus,Tarif A
maennlich,verheiratet,58,0,Bachelor,angestellt,66950,Einfamilienhaus,Tarif A
weiblich,verheiratet,49,0,Bachelor,angestellt,70950,Eigentumswohnung,Tarif B
weiblich,geschieden,48,0,Bachelor,angestellt,73480,keiner,Tarif B
maennlich,geschieden,43,2,Master,angestellt,30870,keiner,Tarif A
maennlich,geschieden,24,0,Bachelor,verbeamtet,88100,Eigentumswohnung,Tarif B
weiblich,verheiratet,26,0,Abitur,kein,8900,keiner,Tarif B
maennlich,geschieden,46,1,Bachelor,arbeitend,19340,keiner,Tarif B
weiblich,geschieden,58,0,Lehre,kein,9900,keiner,Tarif C
maennlich,verheiratet,46,1,Bachelor,angestellt,94900,Einfamilienhaus,Tarif A
weiblich,verheiratet,51,0,Realschule,kein,8700,Einfamilienhaus,Tarif B
maennlich,ledig,28,0,Abitur,arbeitend,31400,keiner,Tarif B
weiblich,verwitwet,46,0,Master,verbeamtet,52050,keiner,Tarif B
weiblich,verheiratet,26,0,Master,angestellt,100430,Einfamilienhaus,Tarif A
maennlich,geschieden,42,1,Bachelor,angestellt,105300,Einfamilienhaus,Tarif A
maennlich,geschieden,50,1,Bachelor,selbständig,36400,keiner,Tarif B
maennlich,ledig,57,0,Lehre,kein,9600,keiner,Tarif B
maennlich,geschieden,36,3,Realschule,arbeitend,23740,keiner,Tarif A
maennlich,verwitwet,40,3,Lehre,angestellt,90300,keiner,Tarif A
maennlich,verheiratet,31,1,Lehre,selbständig,99800,keiner,Tarif A
maennlich,ledig,63,1,Bachelor,arbeitend,30440,keiner,Tarif B
weiblich,geschieden,60,1,Lehre,arbeitend,27100,keiner,Tarif B
weiblich,verheiratet,22,0,Abitur,kein,9300,keiner,Tarif B
maennlich,geschieden,67,0,Bachelor,selbständig,80900,Mehrfamilienhaus,Tarif B
weiblich,ledig,27,1,Abitur,arbeitend,29530,keiner,Tarif B
maennlich,ledig,29,0,Bachelor,angestellt,73965,keiner,Tarif B
weiblich,verheiratet,23,2,Bachelor,kein,8300,keiner,Tarif B
weiblich,ledig,59,0,Lehre,selbständig,60500,keiner,Tarif B
weiblich,verheiratet,28,2,Lehre,arbeitend,29720,keiner,Tarif A
maennlich,verheiratet,26,0,Bachelor,angestellt,83810,keiner,Tarif A
weiblich,verwitwet,39,2,Lehre,kein,9000,keiner,Tarif B
weiblich,ledig,52,0,Bachelor,angestellt,59200,Einfamilienhaus,Tarif B
maennlich,verheiratet,48,2,Lehre,angestellt,97340,Eigentumswohnung,Tarif A
maennlich,ledig,71,0,Bachelor,selbständig,106600,Eigentumswohnung,Tarif B
maennlich,verheiratet,23,0,Bachelor,verbeamtet,43365,Eigentumswohnung,Tarif B
weiblich,verwitwet,37,2,Hauptschule,arbeitend,32900,keiner,Tarif B
maennlich,verwitwet,45,2,Bachelor,angestellt,64950,keiner,Tarif A
weiblich,ledig,24,1,Hauptschule,verbeamtet,87180,Eigentumswohnung,Tarif B
maennlich,verheiratet,34,0,Realschule,selbständig,78300,keiner,Tarif A
maennlich,ledig,26,0,Bachelor,angestellt,71150,Eigentumswohnung,Tarif B
maennlich,verheiratet,95,1,Hauptschule,selbständig,41000,Einfamilienhaus,Tarif A
weiblich,geschieden,40,2,Lehre,arbeitend,32300,keiner,Tarif B
weiblich,verwitwet,70,0,Lehre,arbeitend,27250,keiner,Tarif C
maennlich,ledig,64,0,Bachelor,angestellt,78040,Mehrfamilienhaus,Tarif B
maennlich,geschieden,61,0,Lehre,angestellt,74950,keiner,Tarif B
weiblich,ledig,17,0,Keine,kein,0,keiner,ablehnen
maennlich,verheiratet,40,3,Master,arbeitend,32500,Eigentumswohnung,Tarif A
maennlich,geschieden,45,1,Bachelor,verbeamtet,77800,Eigentumswohnung,Tarif A
maennlich,geschieden,54,0,Bachelor,angestellt,83360,Einfamilienhaus,Tarif A
weiblich,verheiratet,76,0,Bachelor,im Ruhestand,28200,keiner,Tarif C
weiblich,verwitwet,86,0,Master,im Ruhestand,31900,keiner,Tarif D
weiblich,verheiratet,45,0,Bachelor,angestellt,57400,keiner,Tarif B
weiblich,ledig,13,0,Keine,kein,0,keiner,ablehnen
maennlich,ledig,37,0,Abitur,arbeitend,28445,keiner,Tarif B
weiblich,verwitwet,32,2,Master,angestellt,75020,keiner,Tarif A
maennlich,verheiratet,22,0,Bachelor,angestellt,49460,keiner,Tarif B
weiblich,ledig,11,0,Keine,kein,0,keiner,ablehnen
weiblich,verheiratet,55,1,Bachelor,angestellt,66075,Einfamilienhaus,Tarif A
weiblich,geschieden,42,4,Lehre,angestellt,67180,keiner,Tarif A
maennlich,ledig,49,0,Master,angestellt,80365,Einfamilienhaus,Tarif A
weiblich,ledig,23,0,Lehre,kein,8800,keiner,Tarif C
weiblich,verwitwet,38,0,Lehre,selbständig,69500,keiner,Tarif B
weiblich,verheiratet,37,0,Lehre,kein,8700,keiner,Tarif B
weiblich,ledig,54,0,Master,angestellt,70730,Eigentumswohnung,Tarif B
weiblich,ledig,62,0,Bachelor,angestellt,80640,keiner,Tarif B
maennlich,verheiratet,60,1,Bachelor,selbständig,92900,Einfamilienhaus,Tarif A
maennlich,verwitwet,83,0,Bachelor,selbständig,57400,keiner,Tarif B
maennlich,ledig,26,0,Lehre,kein,8700,keiner,Tarif B
weiblich,verheiratet,19,0,Abitur,kein,9500,keiner,Tarif B
maennlich,ledig,19,0,Hauptschule,selbständig,64200,Einfamilienhaus,Tarif B
weiblich,verheiratet,39,2,Lehre,arbeitend,31505,keiner,Tarif A
weiblich,geschieden,41,4,Abitur,selbständig,95200,Villa,Tarif A
weiblich,ledig,67,0,Bachelor,im Ruhestand,23500,keiner,Tarif D
maennlich,verheiratet,34,2,Lehre,angestellt,90600,keiner,Tarif A
maennlich,ledig,29,0,Bachelor,kein,9000,keiner,Tarif B
maennlich,ledig,4,0,Keine,kein,0,keiner,ablehnen
maennlich,ledig,40,0,Master,angestellt,54700,Einfamilienhaus,Tarif B
weiblich,ledig,15,0,Keine,kein,0,keiner,ablehnen
maennlich,verheiratet,34,1,Bachelor,arbeitend,28220,keiner,Tarif A
maennlich,ledig,58,0,Lehre,kein,9700,keiner,Tarif B
weiblich,geschieden,50,0,Abitur,arbeitend,31700,keiner,Tarif B
weiblich,ledig,15,0,Keine,kein,0,keiner,ablehnen
maennlich,verwitwet,45,1,Lehre,arbeitend,28075,keiner,Tarif B
maennlich,verwitwet,39,0,Master,angestellt,118045,Einfamilienhaus,Tarif A
maennlich,verwitwet,43,2,Lehre,kein,9300,keiner,Tarif B
weiblich,verheiratet,55,0,Bachelor,kein,9300,keiner,Tarif B
maennlich,ledig,16,0,Keine,kein,0,keiner,ablehnen
weiblich,verheiratet,36,2,Realschule,angestellt,77820,Eigentumswohnung,Tarif A
weiblich,verheiratet,46,0,Lehre,arbeitend,29180,keiner,Tarif B
maennlich,geschieden,77,1,Lehre,angestellt,106250,Villa,Tarif A
maennlich,geschieden,32,2,Master,angestellt,92520,keiner,Tarif A
maennlich,verwitwet,53,0,Promotion,verbeamtet,78010,keiner,Tarif A
weiblich,ledig,15,1,Keine,kein,0,keiner,ablehnen
maennlich,ledig,61,0,Lehre,arbeitend,33495,keiner,Tarif B
maennlich,geschieden,48,1,Lehre,selbständig,66700,keiner,Tarif B
maennlich,verheiratet,64,0,Bachelor,angestellt,101200,Einfamilienhaus,Tarif A
maennlich,verheiratet,44,0,Master,angestellt,79460,keiner,Tarif A
weiblich,verheiratet,63,0,Lehre,kein,9300,keiner,Tarif B
maennlich,ledig,41,0,Bachelor,verbeamtet,67845,keiner,Tarif B
maennlich,ledig,62,0,Master,arbeitend,34690,keiner,Tarif B
maennlich,ledig,11,0,Keine,kein,0,keiner,ablehnen
maennlich,ledig,18,0,Hauptschule,kein,0,keiner,Tarif C
maennlich,ledig,53,0,Master,angestellt,66125,keiner,Tarif B
weiblich,verheiratet,33,1,Bachelor,verbeamtet,72810,keiner,Tarif A
maennlich,verheiratet,55,0,Bachelor,verbeamtet,95900,Einfamilienhaus,Tarif A
weiblich,verwitwet,70,1,Bachelor,arbeitend,29350,keiner,Tarif B
maennlich,verheiratet,73,0,Lehre,arbeitend,29875,keiner,Tarif B
weiblich,verheiratet,68,0,Master,im Ruhestand,23700,keiner,Tarif C
maennlich,ledig,18,0,Hauptschule,kein,0,keiner,Tarif C
maennlich,geschieden,62,0,Bachelor,arbeitend,27030,keiner,Tarif B
maennlich,verwitwet,65,0,Realschule,selbständig,108000,Einfamilienhaus,Tarif B
weiblich,ledig,37,0,Master,verbeamtet,76445,keiner,Tarif B
maennlich,geschieden,41,2,Lehre,kein,9800,Einfamilienhaus,Tarif B
maennlich,geschieden,69,0,Realschule,im Ruhestand,37600,Eigentumswohnung,Tarif C
maennlich,ledig,8,0,Keine,kein,0,keiner,ablehnen
weiblich,verheiratet,41,2,Hauptschule,angestellt,81900,Mehrfamilienhaus,Tarif A
weiblich,ledig,26,0,Lehre,kein,9700,keiner,Tarif C
weiblich,verheiratet,62,0,Bachelor,angestellt,80850,keiner,Tarif A
weiblich,geschieden,45,0,Lehre,angestellt,57175,keiner,Tarif B
maennlich,ledig,17,0,Keine,selbständig,0,keiner,ablehnen
maennlich,verwitwet,30,0,Lehre,kein,8300,keiner,Tarif B
weiblich,geschieden,24,1,Bachelor,angestellt,53480,Eigentumswohnung,Tarif B
maennlich,verwitwet,36,2,Master,angestellt,58660,Eigentumswohnung,Tarif A
weiblich,verwitwet,35,0,Bachelor,angestellt,63750,keiner,Tarif B
maennlich,ledig,13,0,Keine,kein,0,keiner,ablehnen
weiblich,ledig,30,0,Abitur,selbständig,85500,Eigentumswohnung,Tarif B
maennlich,verheiratet,30,0,Bachelor,angestellt,73500,Eigentumswohnung,Tarif A
maennlich,verwitwet,33,4,Bachelor,angestellt,85690,Einfamilienhaus,Tarif A
weiblich,verheiratet,37,3,Lehre,kein,8900,keiner,Tarif A
weiblich,verheiratet,31,2,Keine,arbeitend,28080,Eigentumswohnung,Tarif A
maennlich,geschieden,70,0,Hauptschule,im Ruhestand,33900,Eigentumswohnung,Tarif C
weiblich,ledig,56,0,Realschule,selbständig,69500,Eigentumswohnung,Tarif B
weiblich,verheiratet,35,0,Bachelor,verbeamtet,75700,keiner,Tarif A
maennlich,geschieden,74,0,Lehre,im Ruhestand,26500,keiner,Tarif C
maennlich,ledig,25,0,Abitur,kein,9200,keiner,Tarif B
maennlich,geschieden,42,0,Master,selbständig,94100,Eigentumswohnung,Tarif A
weiblich,verheiratet,32,0,Lehre,angestellt,118440,Einfamilienhaus,Tarif A
maennlich,verheiratet,42,1,Lehre,arbeitend,24030,keiner,Tarif A
weiblich,verheiratet,54,1,Realschule,arbeitend,33830,keiner,Tarif A
maennlich,verheiratet,33,0,Lehre,angestellt,58995,Eigentumswohnung,Tarif A
maennlich,ledig,26,0,Bachelor,angestellt,53570,Einfamilienhaus,Tarif B
weiblich,verheiratet,56,1,Master,verbeamtet,86680,Mehrfamilienhaus,Tarif A
maennlich,geschieden,47,2,Bachelor,angestellt,41945,Eigentumswohnung,Tarif A
maennlich,verheiratet,21,0,Bachelor,selbständig,107000,keiner,Tarif A
maennlich,verheiratet,40,4,Abitur,kein,8400,keiner,Tarif A
maennlich,verheiratet,44,3,Bachelor,angestellt,81280,keiner,Tarif A
maennlich,ledig,3,0,Keine,kein,0,keiner,ablehnen
weiblich,verheiratet,26,1,Abitur,selbständig,45400,keiner,Tarif A
maennlich,ledig,23,0,Bachelor,arbeitend,26440,Eigentumswohnung,Tarif B
weiblich,verheiratet,48,1,Lehre,kein,9600,keiner,Tarif B
maennlich,verheiratet,27,0,Master,angestellt,110215,Einfamilienhaus,Tarif A
maennlich,ledig,14,0,Keine,kein,0,keiner,ablehnen
weiblich,geschieden,72,0,Lehre,selbständig,63400,Eigentumswohnung,Tarif C
weiblich,geschieden,66,0,Bachelor,im Ruhestand,37800,Eigentumswohnung,Tarif D
maennlich,verheiratet,27,0,Lehre,kein,9300,keiner,Tarif B
weiblich,verheiratet,73,0,Bachelor,selbständig,43600,keiner,Tarif B
maennlich,ledig,30,0,Promotion,angestellt,100050,Mehrfamilienhaus,Tarif A
weiblich,ledig,18,0,Keine,kein,0,keiner,Tarif C
maennlich,verheiratet,24,0,Bachelor,selbständig,107900,Einfamilienhaus,Tarif A
maennlich,geschieden,55,0,Lehre,angestellt,85800,Einfamilienhaus,Tarif A
weiblich,ledig,9,0,Keine,kein,0,keiner,ablehnen
weiblich,ledig,15,0,Keine,kein,0,keiner,ablehnen
maennlich,geschieden,52,0,Bachelor,angestellt,122500,Einfamilienhaus,Tarif A
maennlich,verheiratet,40,2,Lehre,kein,8500,keiner,Tarif A
weiblich,verheiratet,63,0,Bachelor,angestellt,100135,Eigentumswohnung,Tarif A
weiblich,ledig,4,0,Keine,kein,0,keiner,ablehnen
weiblich,ledig,21,0,Bachelor,angestellt,66760,keiner,Tarif C
maennlich,verheiratet,73,0,Lehre,selbständig,58900,keiner,Tarif B
maennlich,geschieden,47,2,Bachelor,angestellt,67145,Eigentumswohnung,Tarif A
weiblich,ledig,13,0,Keine,kein,0,keiner,ablehnen
maennlich,verheiratet,69,0,Bachelor,selbständig,63800,Eigentumswohnung,Tarif B
weiblich,ledig,41,0,Master,selbständig,101500,Einfamilienhaus,Tarif B
maennlich,verheiratet,28,0,Bachelor,angestellt,105060,Villa,Tarif A
maennlich,ledig,37,0,Bachelor,verbeamtet,46335,keiner,Tarif B
maennlich,verwitwet,53,1,Bachelor,angestellt,53475,Eigentumswohnung,Tarif B
weiblich,verwitwet,90,0,Hauptschule,im Ruhestand,24200,keiner,Tarif D
maennlich,ledig,30,0,Bachelor,verbeamtet,83750,Einfamilienhaus,Tarif A
weiblich,ledig,24,1,Hauptschule,kein,8500,keiner,Tarif C
weiblich,verheiratet,44,0,Lehre,angestellt,93180,Einfamilienhaus,Tarif A
maennlich,verheiratet,56,0,Master,arbeitend,24260,keiner,Tarif A
weiblich,verheiratet,50,0,Bachelor,angestellt,96800,keiner,Tarif A
weiblich,verheiratet,39,4,Lehre,angestellt,56900,Eigentumswohnung,Tarif A
maennlich,geschieden,77,1,Lehre,selbständig,70400,Einfamilienhaus,Tarif B
weiblich,verheiratet,47,0,Lehre,arbeitend,29395,Einfamilienhaus,Tarif B
maennlich,verheiratet,43,3,Lehre,arbeitend,31685,keiner,Tarif A
maennlich,ledig,38,1,Lehre,verbeamtet,74550,keiner,Tarif B
maennlich,ledig,16,0,Hauptschule,kein,0,keiner,ablehnen
weiblich,ledig,9,0,Keine,kein,0,keiner,ablehnen
weiblich,verheiratet,34,4,Bachelor,kein,9200,keiner,Tarif A
maennlich,ledig,17,0,Keine,kein,0,keiner,ablehnen
weiblich,ledig,53,0,Master,selbständig,62000,Eigentumswohnung,Tarif B
maennlich,geschieden,44,2,Bachelor,angestellt,80180,keiner,Tarif A
weiblich,verwitwet,33,0,Realschule,arbeitend,30635,Eigentumswohnung,Tarif B
weiblich,verheiratet,58,0,Bachelor,im Ruhestand,24400,Einfamilienhaus,Tarif B
weiblich,verheiratet,28,3,Bachelor,angestellt,61340,keiner,Tarif A
maennlich,verheiratet,80,0,Bachelor,selbständig,61300,keiner,Tarif B
maennlich,verheiratet,24,0,Abitur,angestellt,45760,Einfamilienhaus,Tarif B
weiblich,ledig,82,0,Lehre,im Ruhestand,19800,keiner,Tarif D
maennlich,verheiratet,46,4,Lehre,arbeitend,30910,keiner,Tarif A
weiblich,ledig,15,0,Keine,kein,0,keiner,ablehnen
maennlich,verheiratet,34,0,Bachelor,angestellt,59510,Einfamilienhaus,Tarif A
maennlich,ledig,80,0,Hauptschule,angestellt,75300,keiner,Tarif B
weiblich,geschieden,62,1,Promotion,angestellt,77420,Eigentumswohnung,Tarif B
weiblich,ledig,14,0,Keine,kein,0,keiner,ablehnen
maennlich,verwitwet,31,6,Master,angestellt,80410,keiner,Tarif A
maennlich,verheiratet,34,0,Master,angestellt,47610,Mehrfamilienhaus,Tarif A
weiblich,ledig,18,0,Keine,kein,0,keiner,Tarif C
weiblich,verheiratet,64,0,Lehre,kein,9400,keiner,Tarif B
maennlich,verheiratet,68,0,Realschule,selbständig,76100,Eigentumswohnung,Tarif A
maennlich,verwitwet,54,0,Bachelor,angestellt,90180,Eigentumswohnung,Tarif A
maennlich,verwitwet,74,0,Promotion,im Ruhestand,43200,Eigentumswohnung,Tarif C
weiblich,ledig,59,0,Lehre,kein,9900,keiner,Tarif C
weiblich,ledig,19,0,Keine,kein,9400,keiner,Tarif C
maennlich,ledig,69,0,Lehre,arbeitend,33010,Eigentumswohnung,Tarif B
weiblich,verheiratet,44,5,Abitur,angestellt,66960,keiner,Tarif A
maennlich,ledig,15,0,Keine,kein,0,keiner,ablehnen
maennlich,geschieden,42,6,Lehre,arbeitend,30780,keiner,Tarif A
weiblich,verheiratet,21,1,Abitur,kein,9300,keiner,Tarif B
maennlich,verwitwet,52,0,Lehre,kein,9000,keiner,Tarif B
weiblich,geschieden,64,0,Promotion,im Ruhestand,28000,keiner,Tarif D
weiblich,ledig,17,0,Realschule,kein,0,keiner,ablehnen
weiblich,ledig,33,0,Lehre,arbeitend,28140,keiner,Tarif B
weiblich,ledig,28,0,Bachelor,angestellt,53660,Eigentumswohnung,Tarif B
maennlich,verheiratet,52,0,Bachelor,angestellt,81320,keiner,Tarif A
maennlich,geschieden,35,1,Master,verbeamtet,125925,Einfamilienhaus,Tarif A
weiblich,verheiratet,46,0,Bachelor,kein,8700,keiner,Tarif B
weiblich,geschieden,46,1,Lehre,kein,9500,keiner,Tarif B
maennlich,ledig,15,0,Keine,kein,0,keiner,ablehnen
weiblich,ledig,35,0,Lehre,verbeamtet,91250,Einfamilienhaus,Tarif B
maennlich,ledig,14,0,Keine,kein,0,keiner,ablehnen
weiblich,geschieden,48,0,Abitur,selbständig,66100,keiner,Tarif B
maennlich,verheiratet,29,3,Bachelor,angestellt,70385,Eigentumswohnung,Tarif A
maennlich,verheiratet,58,0,Bachelor,angestellt,89480,Einfamilienhaus,Tarif A
maennlich,verheiratet,26,0,Realschule,arbeitend,30240,keiner,Tarif A
weiblich,geschieden,38,3,Realschule,angestellt,69390,keiner,Tarif A
maennlich,ledig,11,0,Keine,kein,0,keiner,ablehnen
maennlich,verheiratet,35,0,Bachelor,angestellt,62750,keiner,Tarif A
maennlich,verwitwet,35,0,Promotion,angestellt,95950,keiner,Tarif A
maennlich,verheiratet,26,2,Bachelor,selbständig,25700,keiner,Tarif A
maennlich,ledig,14,0,Keine,kein,0,keiner,ablehnen
weiblich,verheiratet,32,2,Lehre,kein,9400,keiner,Tarif A
maennlich,ledig,43,1,Master,selbständig,93000,Einfamilienhaus,Tarif A
weiblich,verheiratet,26,1,Bachelor,angestellt,64470,keiner,Tarif A
weiblich,verheiratet,49,0,Master,selbständig,70500,Eigentumswohnung,Tarif B
weiblich,ledig,20,0,Bachelor,angestellt,48900,keiner,Tarif C
weiblich,ledig,56,0,Bachelor,im Ruhestand,29100,Eigentumswohnung,Tarif C
weiblich,ledig,29,0,Master,angestellt,55445,keiner,Tarif B
weiblich,verheiratet,35,2,Realschule,kein,8800,keiner,Tarif A
weiblich,verheiratet,58,0,Bachelor,angestellt,115280,Einfamilienhaus,Tarif A
maennlich,verwitwet,31,0,Bachelor,angestellt,70415,keiner,Tarif B
maennlich,verwitwet,63,0,Bachelor,angestellt,82540,keiner,Tarif B
weiblich,verheiratet,60,1,Bachelor,verbeamtet,91300,Eigentumswohnung,Tarif A
maennlich,ledig,25,0,Lehre,angestellt,46650,keiner,Tarif B
maennlich,ledig,72,0,Master,im Ruhestand,27000,keiner,Tarif C
weiblich,ledig,18,0,Keine,kein,0,keiner,Tarif C
weiblich,ledig,46,0,Master,angestellt,86690,Eigentumswohnung,Tarif B
maennlich,ledig,27,0,Bachelor,kein,9300,keiner,Tarif B
maennlich,verheiratet,71,0,Bachelor,im Ruhestand,21500,keiner,Tarif B
maennlich,ledig,18,0,Keine,kein,0,keiner,Tarif C
maennlich,geschieden,45,2,Lehre,selbständig,90400,keiner,Tarif A
maennlich,ledig,45,0,Bachelor,angestellt,71075,Eigentumswohnung,Tarif B
maennlich,ledig,10,0,Keine,kein,0,keiner,ablehnen
weiblich,verheiratet,55,0,Lehre,kein,9800,keiner,Tarif B
maennlich,ledig,15,0,Keine,kein,0,keiner,ablehnen
weiblich,ledig,9,0,Keine,kein,0,keiner,ablehnen
weiblich,verheiratet,27,6,Lehre,arbeitend,25190,Eigentumswohnung,Tarif A
maennlich,ledig,77,0,Master,selbständig,49500,Eigentumswohnung,Tarif B
weiblich,ledig,18,0,Hauptschule,kein,0,Einfamilienhaus,Tarif C
maennlich,verwitwet,62,0,Bachelor,angestellt,79130,Eigentumswohnung,Tarif B
weiblich,geschieden,61,0,Lehre,kein,8800,keiner,Tarif C
weiblich,verheiratet,67,0,Bachelor,arbeitend,25620,keiner,Tarif B
weiblich,ledig,38,0,Lehre,angestellt,76830,Eigentumswohnung,Tarif B
maennlich,verheiratet,63,0,Promotion,angestellt,66760,Eigentumswohnung,Tarif B
weiblich,verwitwet,65,0,Realschule,angestellt,104825,Einfamilienhaus,Tarif B
maennlich,verheiratet,24,3,Bachelor,angestellt,61240,keiner,Tarif A
weiblich,geschieden,40,1,Bachelor,angestellt,79400,Eigentumswohnung,Tarif A
maennlich,ledig,13,0,Keine,kein,0,keiner,ablehnen
weiblich,verheiratet,68,1,Abitur,im Ruhestand,39500,keiner,Tarif B
weiblich,geschieden,30,0,Lehre,arbeitend,31150,Eigentumswohnung,Tarif B
maennlich,ledig,22,0,Realschule,kein,9300,keiner,Tarif C
weiblich,geschieden,38,2,Abitur,selbständig,103600,Einfamilienhaus,Tarif A
weiblich,verwitwet,42,2,Hauptschule,arbeitend,26640,keiner,Tarif B
weiblich,ledig,11,0,Keine,kein,0,keiner,ablehnen
maennlich,ledig,27,0,Promotion,angestellt,80805,Einfamilienhaus,Tarif A
weiblich,ledig,13,0,Keine,kein,0,keiner,ablehnen
weiblich,verheiratet,46,1,Bachelor,selbständig,58500,keiner,Tarif A
maennlich,ledig,99,0,Hauptschule,selbständig,26900,keiner,Tarif B
maennlich,ledig,23,0,Lehre,arbeitend,29970,keiner,Tarif B
maennlich,verwitwet,43,0,Keine,selbständig,68400,Einfamilienhaus,Tarif B
weiblich,geschieden,63,0,Master,angestellt,77080,keiner,Tarif B
maennlich,verheiratet,26,0,Lehre,selbständig,39600,Einfamilienhaus,Tarif A
maennlich,geschieden,48,0,Lehre,arbeitend,29440,Eigentumswohnung,Tarif B
weiblich,verheiratet,34,0,Promotion,angestellt,89330,Einfamilienhaus,Tarif A
weiblich,verwitwet,30,1,Bachelor,angestellt,59450,keiner,Tarif B
maennlich,verheiratet,68,1,Master,angestellt,83740,Einfamilienhaus,Tarif A
maennlich,ledig,6,0,Keine,kein,0,keiner,ablehnen
maennlich,verheiratet,28,2,Lehre,kein,9800,keiner,Tarif A
weiblich,verheiratet,34,2,Lehre,angestellt,60780,keiner,Tarif A
weiblich,verheiratet,57,0,Bachelor,arbeitend,33215,keiner,Tarif B
maennlich,verwitwet,61,0,Abitur,angestellt,51365,Eigentumswohnung,Tarif B
maennlich,verheiratet,54,1,Lehre,selbständig,76000,keiner,Tarif A
weiblich,verheiratet,61,0,Bachelor,verbeamtet,88405,keiner,Tarif A
weiblich,verheiratet,50,0,Lehre,kein,8900,keiner,Tarif B
weiblich,ledig,19,0,Keine,kein,8900,keiner,Tarif C
maennlich,geschieden,37,3,Bachelor,angestellt,80900,Einfamilienhaus,Tarif A
maennlich,verheiratet,30,1,Lehre,angestellt,94200,Mehrfamilienhaus,Tarif A
weiblich,geschieden,65,1,Lehre,selbständig,36600,keiner,Tarif B
