Geschlecht;Familienstand;Alter;Kinder;Bildungsstand;Beruf;Jahresgehalt;Immobilienbesitz;Versicherungstarif
weiblich;ledig;12;0;Keine;kein;0;Einfamilienhaus;ablehnen
weiblich;ledig;28;0;Bachelor;angestellt;86720;Einfamilienhaus;Tarif B
weiblich;verheiratet;23;2;Lehre;kein;8800;keiner;Tarif B
weiblich;verheiratet;33;1;Keine;arbeitend;27175;Einfamilienhaus;Tarif A
weiblich;geschieden;53;0;Lehre;selbständig;104700;Einfamilienhaus;Tarif B
weiblich;verheiratet;28;3;Bachelor;angestellt;61340;keiner;Tarif A
maennlich;ledig;9;0;Keine;kein;0;keiner;ablehnen
weiblich;verheiratet;55;0;Hauptschule;selbständig;57300;keiner;Tarif B
maennlich;verheiratet;24;1;Lehre;kein;9900;keiner;Tarif B
maennlich;geschieden;32;0;Promotion;verbeamtet;72400;keiner;Tarif B
weiblich;geschieden;54;0;Bachelor;verbeamtet;73470;keiner;Tarif B
weiblich;geschieden;71;1;Bachelor;selbständig;70200;Einfamilienhaus;Tarif B
weiblich;verheiratet;48;0;Bachelor;verbeamtet;89900;keiner;Tarif A
weiblich;ledig;29;1;Lehre;kein;9700;keiner;Tarif B
weiblich;verheiratet;36;2;Abitur;arbeitend;31900;Eigentumswohnung;Tarif A
weiblich;verheiratet;30;2;Realschule;verbeamtet;82200;Einfamilienhaus;Tarif A
weiblich;ledig;20;0;Bachelor;angestellt;48900;keiner;Tarif C
maennlich;ledig;25;0;Abitur;kein;8900;keiner;Tarif B
weiblich;verheiratet;43;0;Bachelor;angestellt;86860;Einfamilienhaus;Tarif A
weiblich;geschieden;26;0;Lehre;kein;9000;keiner;Tarif C
maennlich;ledig;26;0;Lehre;kein;8700;keiner;Tarif B
maennlich;ledig;20;0;Abitur;kein;8700;keiner;Tarif C
maennlich;verheiratet;40;3;Master;arbeitend;32500;Eigentumswohnung;Tarif A
weiblich;verheiratet;30;2;Hauptschule;arbeitend;25100;keiner;Tarif A
maennlich;ledig;20;0;Abitur;kein;8600;keiner;Tarif C
weiblich;verheiratet;33;0;Promotion;verbeamtet;45215;keiner;Tarif B
maennlich;verwitwet;33;2;Promotion;selbständig;102000;Mehrfamilienhaus;Tarif A
maennlich;verwitwet;61;0;Abitur;angestellt;51365;Eigentumswohnung;Tarif B
maennlich;verheiratet;33;2;Bachelor;angestellt;72210;Einfamilienhaus;Tarif A
weiblich;geschieden;40;2;Lehre;arbeitend;32300;keiner;Tarif B
weiblich;ledig;24;1;Hauptschule;verbeamtet;87180;Eigentumswohnung;Tarif B
weiblich;verheiratet;37;0;Lehre;kein;8700;keiner;Tarif B
maennlich;geschieden;41;1;Bachelor;angestellt;69750;Einfamilienhaus;Tarif B
maennlich;geschieden;30;0;Bachelor;angestellt;87900;Einfamilienhaus;Tarif A
maennlich;verheiratet;69;0;Bachelor;selbständig;63800;Eigentumswohnung;Tarif B
maennlich;verheiratet;48;2;Lehre;angestellt;97340;Eigentumswohnung;Tarif A
maennlich;verwitwet;39;0;Master;angestellt;118045;Einfamilienhaus;Tarif A
maennlich;ledig;5;0;Keine;kein;0;keiner;ablehnen
maennlich;ledig;20;0;Abitur;kein;9900;keiner;Tarif C
maennlich;verheiratet;34;1;Bachelor;arbeitend;28220;keiner;Tarif A
weiblich;verheiratet;32;2;Lehre;kein;9400;keiner;Tarif A
maennlich;ledig;42;0;Lehre;verbeamtet;77760;keiner;Tarif A
weiblich;verheiratet;66;0;Bachelor;im Ruhestand;46500;keiner;Tarif C
weiblich;verheiratet;39;4;Lehre;angestellt;56900;Eigentumswohnung;Tarif A
maennlich;ledig;15;0;Keine;kein;0;keiner;ablehnen
maennlich;verheiratet;69;0;Master;im Ruhestand;46400;keiner;Tarif B
maennlich;ledig;10;0;Keine;kein;0;keiner;ablehnen
weiblich;ledig;9;0;Keine;kein;0;keiner;ablehnen
maennlich;ledig;18;0;Hauptschule;kein;0;keiner;Tarif C
maennlich;verheiratet;42;1;Lehre;arbeitend;24030;keiner;Tarif A
weiblich;verheiratet;31;2;Keine;arbeitend;28080;Eigentumswohnung;Tarif A
weiblich;verwitwet;34;4;Lehre;kein;9700;keiner;Tarif A
maennlich;ledig;56;0;Master;angestellt;51240;Eigentumswohnung;Tarif B
maennlich;ledig;19;0;Hauptschule;kein;8700;keiner;Tarif C
weiblich;ledig;27;0;Bachelor;selbständig;105000;Villa;Tarif B
maennlich;verheiratet;62;1;Lehre;kein;9200;keiner;Tarif B
maennlich;ledig;74;0;Lehre;im Ruhestand;37600;keiner;Tarif C
maennlich;verheiratet;66;0;Lehre;selbständig;93000;Eigentumswohnung;Tarif A
maennlich;verheiratet;60;0;Lehre;selbständig;94300;keiner;Tarif A
weiblich;ledig;14;0;Keine;kein;0;Einfamilienhaus;ablehnen
maennlich;verheiratet;29;2;Bachelor;angestellt;67840;Einfamilienhaus;Tarif A
maennlich;geschieden;44;2;Bachelor;angestellt;80180;keiner;Tarif A
maennlich;verheiratet;31;0;Bachelor;selbständig;105000;keiner;Tarif A
weiblich;verheiratet;55;0;Master;selbständig;73400;keiner;Tarif B
maennlich;ledig;10;0;Keine;kein;0;keiner;ablehnen
maennlich;ledig;11;0;Keine;kein;0;keiner;ablehnen
weiblich;verheiratet;62;0;Abitur;angestellt;50110;keiner;Tarif B
maennlich;geschieden;54;0;Bachelor;angestellt;83360;Einfamilienhaus;Tarif A
weiblich;ledig;69;0;Lehre;im Ruhestand;21800;Einfamilienhaus;Tarif D
weiblich;verheiratet;54;0;Bachelor;selbständig;75700;keiner;Tarif A
weiblich;verheiratet;39;2;Lehre;arbeitend;31505;keiner;Tarif A
weiblich;ledig;35;1;Lehre;arbeitend;26050;keiner;Tarif B
maennlich;ledig;11;0;Keine;kein;0;keiner;ablehnen
maennlich;verheiratet;52;0;Master;angestellt;69580;Eigentumswohnung;Tarif A
maennlich;ledig;69;0;Lehre;arbeitend;33010;Eigentumswohnung;Tarif B
maennlich;ledig;21;0;Abitur;kein;9200;keiner;Tarif C
weiblich;verheiratet;53;0;Abitur;selbständig;64200;keiner;Tarif B
weiblich;ledig;31;0;Master;angestellt;82520;Einfamilienhaus;Tarif B
maennlich;verheiratet;58;0;Bachelor;angestellt;59900;Einfamilienhaus;Tarif A
weiblich;verheiratet;33;0;Lehre;arbeitend;30570;Eigentumswohnung;Tarif B
maennlich;ledig;32;0;Promotion;angestellt;82080;Mehrfamilienhaus;Tarif A
maennlich;verheiratet;31;3;Bachelor;angestellt;81510;keiner;Tarif A
maennlich;geschieden;39;1;Lehre;arbeitend;29115;keiner;Tarif B
weiblich;verheiratet;49;0;Master;angestellt;107010;Einfamilienhaus;Tarif A
maennlich;ledig;62;0;Bachelor;angestellt;135770;Villa;Tarif B
maennlich;ledig;79;0;Master;arbeitend;33610;keiner;Tarif B
weiblich;verheiratet;26;1;Bachelor;angestellt;64470;keiner;Tarif A
weiblich;verheiratet;44;2;Hauptschule;verbeamtet;72140;Eigentumswohnung;Tarif A
maennlich;verheiratet;21;0;Abitur;kein;9800;keiner;Tarif B
maennlich;geschieden;70;0;Hauptschule;im Ruhestand;33900;Eigentumswohnung;Tarif C
weiblich;verheiratet;26;0;Abitur;kein;8900;keiner;Tarif B
weiblich;verheiratet;66;0;Lehre;arbeitend;34870;keiner;Tarif B
maennlich;ledig;14;0;Keine;kein;0;keiner;ablehnen
maennlich;geschieden;40;2;Bachelor;angestellt;80300;Einfamilienhaus;Tarif A
weiblich;verwitwet;35;4;Hauptschule;angestellt;54550;Einfamilienhaus;Tarif A
weiblich;verheiratet;61;0;Bachelor;verbeamtet;88405;keiner;Tarif A
maennlich;ledig;9;0;Keine;kein;0;keiner;ablehnen
maennlich;verheiratet;83;1;Bachelor;selbständig;64500;keiner;Tarif A
maennlich;verheiratet;21;0;Bachelor;selbständig;107000;keiner;Tarif A
weiblich;verheiratet;24;0;Abitur;kein;8500;keiner;Tarif B
maennlich;verheiratet;34;0;Realschule;selbständig;78300;keiner;Tarif A
maennlich;verheiratet;22;0;Bachelor;angestellt;49460;keiner;Tarif B
weiblich;ledig;24;1;Hauptschule;kein;9600;keiner;Tarif C
maennlich;ledig;56;0;Bachelor;selbständig;94100;keiner;Tarif A
weiblich;ledig;21;0;Realschule;kein;9500;keiner;Tarif C
weiblich;ledig;27;0;Realschule;verbeamtet;79070;keiner;Tarif B
maennlich;verheiratet;58;0;Bachelor;im Ruhestand;39300;keiner;Tarif B
maennlich;geschieden;63;1;Bachelor;angestellt;73735;Einfamilienhaus;Tarif B
weiblich;ledig;83;0;Bachelor;im Ruhestand;31700;keiner;Tarif D
maennlich;ledig;10;0;Keine;kein;0;keiner;ablehnen
maennlich;verwitwet;53;0;Promotion;verbeamtet;78010;keiner;Tarif A
maennlich;verwitwet;53;1;Lehre;angestellt;100680;Einfamilienhaus;Tarif A
maennlich;verheiratet;39;0;Lehre;kein;8400;keiner;Tarif B
weiblich;verheiratet;44;0;Lehre;angestellt;93180;Einfamilienhaus;Tarif A
weiblich;verheiratet;53;0;Master;selbständig;30900;Einfamilienhaus;Tarif B
maennlich;verheiratet;62;0;Lehre;kein;8600;keiner;Tarif B
maennlich;verheiratet;68;1;Master;angestellt;83740;Einfamilienhaus;Tarif A
maennlich;ledig;11;0;Keine;kein;0;keiner;ablehnen
weiblich;ledig;28;0;Bachelor;angestellt;49640;Eigentumswohnung;Tarif B
weiblich;geschieden;65;1;Lehre;selbständig;36600;keiner;Tarif B
weiblich;ledig;15;0;Keine;kein;0;keiner;ablehnen
weiblich;verheiratet;31;1;Bachelor;selbständig;101500;Mehrfamilienhaus;Tarif A
maennlich;geschieden;45;1;Bachelor;angestellt;98425;Eigentumswohnung;Tarif A
maennlich;ledig;66;0;Master;im Ruhestand;30900;Eigentumswohnung;Tarif C
maennlich;ledig;29;0;Bachelor;kein;9000;keiner;Tarif B
weiblich;verheiratet;37;0;Bachelor;selbständig;106200;Einfamilienhaus;Tarif A
maennlich;ledig;13;0;Keine;kein;0;keiner;ablehnen
maennlich;verheiratet;56;0;Master;angestellt;97320;keiner;Tarif A
maennlich;ledig;21;0;Bachelor;angestellt;91470;keiner;Tarif B
maennlich;verheiratet;73;0;Lehre;selbständig;58900;keiner;Tarif B
maennlich;verwitwet;65;0;Realschule;selbständig;108000;Einfamilienhaus;Tarif B
weiblich;verheiratet;38;3;Hauptschule;kein;9400;keiner;Tarif A
maennlich;verheiratet;30;0;Lehre;angestellt;91550;Eigentumswohnung;Tarif A
maennlich;ledig;71;0;Bachelor;selbständig;106600;Eigentumswohnung;Tarif B
weiblich;verheiratet;62;0;Bachelor;angestellt;80850;keiner;Tarif A
maennlich;geschieden;55;0;Bachelor;kein;9100;keiner;Tarif B
maennlich;verwitwet;35;0;Promotion;angestellt;95950;keiner;Tarif A
maennlich;geschieden;55;0;Lehre;arbeitend;29900;keiner;Tarif B
maennlich;verheiratet;50;1;Bachelor;angestellt;74900;keiner;Tarif A
weiblich;ledig;24;0;Abitur;arbeitend;29960;keiner;Tarif C
maennlich;verheiratet;73;0;Bachelor;im Ruhestand;26600;keiner;Tarif B
weiblich;verheiratet;49;0;Bachelor;selbständig;43700;Eigentumswohnung;Tarif B
weiblich;verwitwet;35;3;Bachelor;angestellt;39450;Eigentumswohnung;Tarif A
maennlich;ledig;72;0;Bachelor;selbständig;46700;Einfamilienhaus;Tarif B
maennlich;verheiratet;28;2;Lehre;selbständig;61800;Eigentumswohnung;Tarif A
weiblich;verheiratet;31;2;Master;arbeitend;30845;keiner;Tarif A
weiblich;ledig;17;0;Hauptschule;arbeitend;0;keiner;ablehnen
weiblich;verwitwet;86;0;Master;im Ruhestand;31900;keiner;Tarif D
maennlich;verheiratet;56;0;Bachelor;angestellt;70340;Mehrfamilienhaus;Tarif A
maennlich;ledig;20;0;Bachelor;angestellt;38600;keiner;Tarif B
weiblich;verwitwet;31;4;Lehre;arbeitend;26625;Eigentumswohnung;Tarif A
maennlich;verheiratet;58;0;Master;angestellt;88580;keiner;Tarif A
weiblich;ledig;29;0;Master;angestellt;55445;keiner;Tarif B
maennlich;geschieden;45;2;Bachelor;angestellt;108225;Einfamilienhaus;Tarif A
weiblich;verheiratet;51;0;Lehre;angestellt;78880;keiner;Tarif A
maennlich;ledig;20;0;Master;arbeitend;23100;keiner;Tarif B
weiblich;ledig;25;0;Master;selbständig;70400;Eigentumswohnung;Tarif B
weiblich;ledig;29;1;Realschule;selbständig;84600;Mehrfamilienhaus;Tarif A
weiblich;verheiratet;40;1;Abitur;kein;9400;keiner;Tarif B
weiblich;ledig;23;0;Abitur;kein;9100;keiner;Tarif C
weiblich;verheiratet;41;3;Abitur;kein;8700;keiner;Tarif A
weiblich;verheiratet;31;0;Promotion;verbeamtet;72170;keiner;Tarif B
maennlich;ledig;23;0;Lehre;arbeitend;29970;keiner;Tarif B
maennlich;geschieden;33;2;Bachelor;arbeitend;25410;keiner;Tarif A
weiblich;ledig;22;0;Keine;kein;8500;keiner;Tarif C
weiblich;geschieden;63;0;Master;angestellt;77080;keiner;Tarif B
maennlich;geschieden;62;0;Bachelor;arbeitend;27030;keiner;Tarif B
maennlich;geschieden;51;0;Master;verbeamtet;45950;Eigentumswohnung;Tarif B
weiblich;ledig;18;0;Keine;kein;0;keiner;Tarif C
weiblich;ledig;8;0;Keine;kein;0;keiner;ablehnen
weiblich;ledig;56;0;Bachelor;im Ruhestand;29100;Eigentumswohnung;Tarif C
maennlich;verheiratet;34;1;Bachelor;angestellt;72850;Eigentumswohnung;Tarif A
weiblich;verheiratet;63;1;Bachelor;verbeamtet;95990;Eigentumswohnung;Tarif A
maennlich;verwitwet;53;1;Bachelor;angestellt;53475;Eigentumswohnung;Tarif B
weiblich;verheiratet;41;4;Lehre;kein;9500;keiner;Tarif A
weiblich;verheiratet;46;1;Bachelor;selbständig;58500;keiner;Tarif A
weiblich;ledig;4;0;Keine;kein;0;keiner;ablehnen
maennlich;verheiratet;24;0;Abitur;angestellt;45760;Einfamilienhaus;Tarif B
maennlich;ledig;26;0;Bachelor;angestellt;71150;Eigentumswohnung;Tarif B
maennlich;geschieden;42;1;Master;angestellt;98440;Mehrfamilienhaus;Tarif A
weiblich;verheiratet;30;0;Master;angestellt;76500;Eigentumswohnung;Tarif A
weiblich;verheiratet;21;1;Abitur;kein;9300;keiner;Tarif B
maennlich;verheiratet;50;0;Bachelor;angestellt;50550;Einfamilienhaus;Tarif A
weiblich;verheiratet;55;0;Bachelor;kein;9300;keiner;Tarif B
weiblich;ledig;11;0;Keine;kein;0;keiner;ablehnen
weiblich;verheiratet;58;1;Bachelor;verbeamtet;78460;Eigentumswohnung;Tarif A
weiblich;geschieden;65;0;Bachelor;arbeitend;30600;keiner;Tarif C
maennlich;ledig;53;0;Master;angestellt;66125;keiner;Tarif B
weiblich;ledig;13;0;Keine;kein;0;keiner;ablehnen
maennlich;verheiratet;57;0;Bachelor;selbständig;109200;Eigentumswohnung;Tarif A
maennlich;verheiratet;49;1;Bachelor;angestellt;81010;Einfamilienhaus;Tarif A
weiblich;ledig;27;1;Bachelor;angestellt;67385;Eigentumswohnung;Tarif B
maennlich;geschieden;48;1;Lehre;selbständig;66700;keiner;Tarif B
maennlich;geschieden;47;2;Bachelor;angestellt;41945;Eigentumswohnung;Tarif A
weiblich;verheiratet;46;0;Lehre;arbeitend;29180;keiner;Tarif B
maennlich;geschieden;40;3;Bachelor;angestellt;62200;Eigentumswohnung;Tarif A
weiblich;ledig;12;1;Keine;kein;0;keiner;ablehnen
maennlich;verheiratet;23;0;Bachelor;angestellt;64450;Eigentumswohnung;Tarif B
maennlich;ledig;14;0;Keine;kein;0;keiner;ablehnen
weiblich;ledig;18;0;Keine;arbeitend;0;keiner;Tarif C
weiblich;verheiratet;34;3;Lehre;kein;9000;keiner;Tarif A
maennlich;verwitwet;54;0;Bachelor;angestellt;52080;keiner;Tarif B
maennlich;verheiratet;51;0;Lehre;selbständig;57500;Eigentumswohnung;Tarif A
weiblich;verheiratet;52;1;Master;angestellt;55060;keiner;Tarif A
maennlich;verheiratet;40;2;Bachelor;angestellt;82000;keiner;Tarif A
weiblich;ledig;46;0;Master;angestellt;86690;Eigentumswohnung;Tarif B
maennlich;verheiratet;40;2;Lehre;kein;8500;keiner;Tarif A
weiblich;ledig;50;0;Bachelor;verbeamtet;95850;keiner;Tarif B
weiblich;verheiratet;33;3;Realschule;angestellt;97040;Eigentumswohnung;Tarif A
maennlich;geschieden;67;0;Hauptschule;im Ruhestand;28300;keiner;Tarif C
weiblich;verwitwet;36;2;Bachelor;angestellt;81780;Einfamilienhaus;Tarif A
weiblich;ledig;14;0;Keine;kein;0;keiner;ablehnen
weiblich;verwitwet;60;0;Bachelor;angestellt;49500;keiner;Tarif B
weiblich;verheiratet;37;2;Abitur;kein;8700;keiner;Tarif A
maennlich;ledig;54;0;Lehre;angestellt;45130;keiner;Tarif B
maennlich;ledig;26;0;Master;arbeitend;25550;keiner;Tarif B
weiblich;ledig;16;0;Keine;kein;0;keiner;ablehnen
weiblich;verheiratet;24;1;Abitur;kein;9300;keiner;Tarif B
weiblich;geschieden;41;0;Abitur;selbständig;91800;keiner;Tarif B
maennlich;geschieden;59;1;Master;im Ruhestand;45500;keiner;Tarif B
maennlich;verheiratet;75;0;Lehre;arbeitend;36600;keiner;Tarif B
weiblich;verheiratet;38;0;Bachelor;angestellt;66620;Eigentumswohnung;Tarif B
maennlich;verheiratet;64;0;Lehre;kein;9900;keiner;Tarif B
maennlich;ledig;3;0;Keine;kein;0;keiner;ablehnen
weiblich;verheiratet;22;3;Keine;kein;8500;keiner;Tarif A
weiblich;geschieden;43;1;Realschule;arbeitend;21765;keiner;Tarif B
maennlich;geschieden;38;2;Bachelor;angestellt;88430;Einfamilienhaus;Tarif A
weiblich;verwitwet;38;0;Lehre;selbständig;69500;keiner;Tarif B
weiblich;geschieden;72;0;Lehre;selbständig;63400;Eigentumswohnung;Tarif C
maennlich;ledig;64;0;Bachelor;angestellt;78040;Mehrfamilienhaus;Tarif B
maennlich;ledig;19;0;Hauptschule;kein;9500;keiner;Tarif C
weiblich;geschieden;41;0;Bachelor;verbeamtet;90235;Eigentumswohnung;Tarif B
weiblich;ledig;28;1;Lehre;angestellt;112640;Eigentumswohnung;Tarif A
maennlich;ledig;46;0;Lehre;kein;9800;keiner;Tarif B
maennlich;verheiratet;52;0;Bachelor;angestellt;81320;keiner;Tarif A
maennlich;ledig;23;0;Bachelor;arbeitend;26440;Eigentumswohnung;Tarif B
weiblich;geschieden;52;0;Lehre;arbeitend;26040;keiner;Tarif B
maennlich;verheiratet;55;0;Lehre;arbeitend;35300;Eigentumswohnung;Tarif A
maennlich;ledig;36;0;Bachelor;angestellt;80000;keiner;Tarif A
weiblich;geschieden;38;3;Lehre;kein;8900;keiner;Tarif B
weiblich;verwitwet;65;1;Realschule;arbeitend;34075;Eigentumswohnung;Tarif B
weiblich;ledig;17;0;Keine;kein;0;keiner;ablehnen
weiblich;verheiratet;76;0;Bachelor;im Ruhestand;28200;keiner;Tarif C
weiblich;verheiratet;23;2;Bachelor;kein;8300;keiner;Tarif B
weiblich;geschieden;50;0;Bachelor;kein;10000;keiner;Tarif C
maennlich;ledig;27;0;Bachelor;kein;9300;keiner;Tarif B
maennlich;verheiratet;54;1;Lehre;selbständig;76000;keiner;Tarif A
weiblich;verwitwet;30;1;Bachelor;angestellt;59450;keiner;Tarif B
weiblich;verwitwet;33;0;Realschule;arbeitend;30635;Eigentumswohnung;Tarif B
weiblich;ledig;18;0;Keine;kein;0;keiner;Tarif C
maennlich;geschieden;57;0;Hauptschule;selbständig;43600;Eigentumswohnung;Tarif B
weiblich;verwitwet;96;0;Bachelor;im Ruhestand;30900;keiner;Tarif D
weiblich;verheiratet;68;1;Abitur;im Ruhestand;39500;keiner;Tarif B
